facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374604407,BAYSHIRE CARLSBAD,CAMINO REAL CARE LLC,"DAYNES, THOMAS",(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,08,125,LICENSED,6/1/2021,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426512,BAYSHIRE RANCHO MIRAGE,S-H OPCO RANCHO MIRAGE; MIRAGE CARE LLC,"BARTON, ROBERT",(760) 340-5999,72201 COUNTRY CLUB DR,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,135,CLOSED,8/29/2014,6/29/2021,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,331881086,BAYSHIRE RANCHO MIRAGE,MIRAGE CARE LLC,"KIRBY, SCOTT",(760) 340-5999,72201 COUNTRY CLUB DRIVE,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,135,LICENSED,6/1/2021,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198603710,BAYSHIRE SAN DIMAS,SAN DIMAS CARE LLC,"COLEMAN, CHAD",(909) 394-0304,1740 S SAN DIMAS,SAN DIMAS,CA,91773,LOS ANGELES,28,119,LICENSED,4/1/2024,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603617,BAYSHIRE TORREY PINES,S-H OPCO CARMEL VALLEY; HARTFIELD CARE LLC,"KIRBY, SCOTT",(858) 259-2222,13101 HARTFIELD AVE,SAN DIEGO,CA,92130,SAN DIEGO,08,125,CLOSED,8/29/2014,3/29/2024,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374604784,BAYSHIRE TORREY PINES,HARTFIELD CARE LLC,JEREMY DANENHAUER,(858) 259-2222,13101 HARTFIELD AVE,SAN DIEGO,CA,92130,SAN DIEGO,08,125,LICENSED,4/1/2024,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306006421,BAYSHIRE YORBA LINDA,YORBA LINDA CARE LLC,"COLEMAN, CHAD",(714) 777-9666,17803 IMPERIAL HWY,YORBA LINDA,CA,92886,ORANGE,22,114,LICENSED,4/1/2024,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501662,BRETHREN HILLCREST HOMES,BRETHREN HILLCREST HOMES,KEITH KASIN,(909) 593-4917,2705 MOUNTAIN VIEW DRIVE,LA VERNE,CA,91750,LOS ANGELES,28,574,LICENSED,7/2/1976,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501668,"BRITISH HOME IN CALIFORNIA LTD, THE","BRITISH HOME IN CALIFORNIA, LTD THE",MARLENE RAINEN,(626) 355-7240,647 MANZANITA AVE,SIERRA MADRE,CA,91024,LOS ANGELES,28,41,LICENSED,5/1/1976,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197610016,BROOKDALE NORTHRIDGE,SH NORTHRIDGE CA OPCO LLC; HBC MANAGER LLC,"KESHISHYAN, VARSENIK",(818) 886-1616,17650 WEST DEVONSHIRE STREET,NORTHRIDGE,CA,91325,LOS ANGELES,31,135,CLOSED,12/1/2020,8/9/2022,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608720,BROOKDALE NORTHRIDGE,EMERITUS CORPORATION,"KESHISHYAN, VARSENIK",(818) 886-1616,17650 W DEVONSHIRE ST,NORTHRIDGE,CA,91325,LOS ANGELES,31,135,CLOSED,7/31/2014,12/1/2020,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,157203395,BROOKDALE RIVERWALK,BLC GLENWOOD-GARDENS AL-LH; BROOKDALE LIVING COMMS,"TOOMER, JEFFREY",(661) 587-0221,350 CALLOWAY DR,BAKERSFIELD,CA,93312,KERN,24,376,LICENSED,6/26/2006,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400070,CALIFORNIA ARMENIAN HOME,CALIFORNIA HOME FOR THE AGED INC,PAUL ROCHA,(559) 251-8414,6720 E KINGS CANYON RD,FRESNO,CA,93727,FRESNO,24,412,LICENSED,3/20/1985,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801963,CAMARILLO SENIOR LIVING,S-H OPCO CAMARILLO LLC; ACSR LLC,"GONZAGA, VINCENT",(805) 388-8086,6000 SANTA ROSA RD,CAMARILLO,CA,93012,VENTURA,29,140,CLOSED,8/29/2014,6/1/2021,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565850142,CAMARILLO SENIOR LIVING,ACSR LLC,GENA GRUNDEIS,(805) 388-8086,6000 SANTA ROSA ROAD,CAMARILLO,CA,93012,VENTURA,29,140,LICENSED,6/1/2021,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270708224,CANTERBURY WOODS,FRONT PORCH COMMUNITIES AND SERVICES,ELVYRA ABARE,(831) 373-3111,651 SINEX AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,24,190,LICENSED,9/15/1989,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191603774,"CANTERBURY, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,DAVE HONE,(310) 541-2410,5801 CRESTRIDGE RD,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,11,187,LICENSED,3/31/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005949,CAPISTRANO SENIOR LIVING,ASRV LLC,BRYAN HADLEY,(844) 375-0029,31741 RANCHO VIEJO ROAD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,125,LICENSED,6/1/2021,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004555,CAPRIANA,CAPRIANA OPERATIONS; OAKMONT SR LVG; OAKMONT MGT G,TONYA REYNOLDS,(714) 589-2866,460 LA FLORESTA DR,BREA,CA,92821,ORANGE,22,200,CLOSED,5/14/2013,7/6/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306006242,CAPRIANA,WELL OAK CCRC TENANT LLC; OAKMONT MANAGEMENT GROUP,"REYNOLDS, TONYA",(714) 985-5500,460 LA FLORESTA DRIVE,BREA,CA,92821,ORANGE,22,200,LICENSED,7/1/2023,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,015601222,CARDINAL POINT AT MARINER SQUARE,"CARDINAL PT MARINER, GALLAHER SR LVG; WELLQUEST",GERALD VADNAIS,(510) 337-1033,2431 MARINER SQUARE DR,ALAMEDA,CA,94501,ALAMEDA,15,153,LICENSED,2/28/2006,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,331881329,"CARLOTTA, THE",WELL TREVI CCRC TENANT LLC; OAKMONT ET AL,"BOWIE, MOLLY",(760) 346-5420,41-505 CARLOTTA DRIVE,PALM DESERT,CA,92211,RIVERSIDE,18,250,CLOSED,1/1/2023,10/6/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,331881459,"CARLOTTA, THE",WELL OAK CCRC TENANT LLC; OAKMONT ET AL,JOHN BRENNAN,(760) 346-5420,41-505 CARLOTTA DRIVE,PALM DESERT,CA,92211,RIVERSIDE,18,250,LICENSED,10/1/2023,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600799,CARLSBAD BY THE SEA,FRONT PORCH COMMUNITIES AND SERVICES,"DIGERNESS, PAULA",(760) 492-3359,2855 CARLSBAD BLVD.,CARLSBAD,CA,92008,SAN DIEGO,08,224,LICENSED,8/4/1999,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700110,CARMEL VALLEY MANOR,NORTHERN CALIFORNIA CONGREGATIONAL RETIREMENT HOME,CHRIS REGAN,(831) 624-1281,8545 CARMEL VALLEY ROAD,CARMEL,CA,93923,MONTEREY,24,258,LICENSED,11/12/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800142,CASA DE FLORES,"COMPASS HEALTH, INC., DBA",JONATHAN D. ROBERTS,(805) 772-7372,1405 TERESA DRIVE,MORRO BAY,CA,93442,SAN LUIS OBISPO,29,120,LICENSED,2/24/1997,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600488,CASA DE LAS CAMPANAS,"CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC",KIMBERLY FINCH-DOMINY,(858) 451-9152,18655 WEST BERNARDO DRIVE,SAN DIEGO,CA,92127,SAN DIEGO,08,582,LICENSED,1/1/1997,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700160,CASA DORINDA,MONTECITO RETIREMENT ASSOCIATION,BRIAN MCCAGUE,(805) 969-8011,300 HOT SPRINGS RD.,SANTA BARBARA,CA,93108,SANTA BARBARA,29,360,LICENSED,10/31/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700136,CHANNING HOUSE,CHANNING HOUSE,RHONDA BEKKEDAHL,(650) 327-0950,850 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,26,264,LICENSED,3/20/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,370800394,COVENANT LIVING AT MOUNT MIGUEL,COVENANT LIVING WEST,RICHARD MILLER,(619) 479-4790,325 KEMPTON STREET,SPRING VALLEY,CA,91977,SAN DIEGO,08,435,LICENSED,4/9/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421702848,COVENANT LIVING AT THE SAMARKAND,COVENANT LIVING WEST,MARJAN ALBERT,(805) 687-0701,2550 TREASURE DRIVE,SANTA BARBARA,CA,93105,SANTA BARBARA,29,379,LICENSED,4/6/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,500301453,COVENANT LIVING OF TURLOCK,COVENANT LIVING WEST,RYAN HUST,(209) 632-9976,2125 N OLIVE AVENUE,TURLOCK,CA,95382,STANISLAUS,27,377,LICENSED,6/19/1989,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306002255,"COVINGTON, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,DONALD CASH BENTON,(949) 389-8500,3 PURSUIT,ALISO VIEJO,CA,92656,ORANGE,22,343,LICENSED,5/20/2004,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803820,"ENSO VILLAGE, A KENDAL AFFILIATE","KENDAL AT SONOMA, A ZEN INSPIRED COMMUNITY",ANNET NAKIYUKA,(925) 366-3414,1801 BOXHEART DRIVE,HEALDSBURG,CA,95448,SONOMA,21,400,LICENSED,11/3/2023,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,340313383,ESKATON VILLAGE,ESKATON; ESKATON PROPERTIES INC,"RIST, ALICIA",(916) 974-2000,3939 WALNUT AVE,CARMICHAEL,CA,95608,SACRAMENTO,59,500,LICENSED,3/23/1992,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700245,FOREST HILL,CALIFORNIA-NEVADA METHODIST HOMES,SHARON FAY,(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,24,150,CLOSED,1/29/1974,12/6/2022,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200344,"FORUM AT RANCHO SAN ANTONIO, THE","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC",ROSALIE B ZBASNIK-HULOG,(650) 944-0100,23500 CRISTO REY DRIVE,CUPERTINO,CA,95014,SANTA CLARA,26,817,LICENSED,9/24/1996,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803440,FOUNTAINGROVE LODGE,"FOUNTAINGROVE LODGE, OSL LLC; OAKMONT MGT GROUP","MOONEY, SHAWN",(707) 576-1101,4210 THOMAS LAKE HARRIS DR,SANTA ROSA,CA,95403,SONOMA,21,173,CLOSED,11/22/2013,7/1/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496804113,FOUNTAINGROVE LODGE,WELL OAK CCRC TENANT LLC; OAKMONT MANAGEMENT GROUP,"LEONE, MEGAN E.",(707) 576-1101,4210 THOMAS LAKE HARRIS DRIVE,SANTA ROSA,CA,95403,SONOMA,21,173,LICENSED,7/1/2023,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426769,"FOUNTAINS AT THE CARLOTTA, THE",WATERMARK CARLOTTA LLC; WATERMARK RTMT. COMM LLC,RONALD F. ELLENICH,(760) 346-5420,41505 CARLOTTA DR.,PALM DESERT,CA,92211,RIVERSIDE,18,250,CLOSED,6/1/2015,2/15/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607880,FOUNTAINVIEW AT EISENBERG VILLAGE,"FOUNTAINVIEW AT EISENBERG VLG,LLC.& EVLAJHA,INC.",ADAM PENA,(818) 654-5534,6440 WILBUR AVENUE,RESEDA,CA,91335,LOS ANGELES,29,216,LICENSED,2/23/2010,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198602384,FOUNTAINVIEW AT GONDA WESTSIDE,LOS ANGELES JEWISH HOME FOR THE AGING (LAJHA),"OFRECIO, CHARLETTE",(424) 216-7788,12490 WEST FIELDING CIRCLE,PLAYA VISTA,CA,90094,LOS ANGELES,11,286,CLOSED,2/15/2017,3/4/2025,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300606831,FREEDOM VILLAGE,"MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC",HRAG H BEKERIAN,(949) 472-4733,23442 EL TORO ROAD,LAKE FOREST,CA,92630,ORANGE,22,533,LICENSED,7/23/1987,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496801929,FRIENDS HOUSE,FRONT PORCH COMMUNITIES AND SERVICES,ROBERT RUBIO,(707) 538-0152,684 BENICIA DRIVE,SANTA ROSA,CA,95409,SONOMA,21,145,LICENSED,12/27/2006,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197610191,"GARDENS AT NORTHRIDGE, THE",PACIFICA DEVONSHIRE LLC' DEVONSHIRE MGR LLC,LISA VILLASENOR,(818) 886-1616,17650 WEST DEVONSHIRE STREET,NORTHRIDGE,CA,91325,LOS ANGELES,31,135,LICENSED,8/9/2022,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603600,"GLEN AT SCRIPPS RANCH, THE",GLEN AT SCRIPPS RANCH CCRC LLC,"KLINE, MEEGAN",(858) 444-8500,9800 GLEN CENTER DRIVE,SAN DIEGO,CA,92131,SAN DIEGO,08,684,LICENSED,12/23/2019,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,011400246,GRAND LAKE GARDENS,HUMANGOOD & HUMANGOOD NORCAL,"BRANDMEIER, PHILIP",(510) 893-8897,401 SANTA CLARA AVENUE,OAKLAND,CA,94610,ALAMEDA,15,135,CLOSED,1/25/1985,3/7/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500295,HERITAGE ON THE MARINA,R,MARY LINDE,(415) 202-0300,3400 LAGUNA ST.,SAN FRANCISCO,CA,94123,SAN FRANCISCO,14,109,LICENSED,6/25/1975,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191800001,HOLLENBECK PALMS,HOLLENBECK PALMS,DIANA MEDINA,(323) 263-6195,573 S. BOYLE AVE,LOS ANGELES,CA,90033,LOS ANGELES,28,185,LICENSED,4/16/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405802282,IL VILLAGGIO AT SAN LUIS OBISPO,II VILLAGGIO AT SAN LUIS OBISPO LLC LIFE CARE SERV,TBD,(805) 996-0580,LOS OSOS VALLEY ROAD,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,29,400,PENDING,,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360902944,"INLAND CHRISTIAN HOME, INC","INLAND CHRISTIAN HOME, INC",MARY WOLFF,(909) 983-0084,1950 SOUTH MOUNTAIN AVENUE,ONTARIO,CA,91762,SAN BERNARDINO,56,297,LICENSED,2/20/1994,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600637,LA COSTA GLEN CARLSBAD,LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC,"KEARNAGHAN, KRISTEN",(760) 704-1000,1950 SILVERLEAF CIRCLE,CARLSBAD,CA,92009,SAN DIEGO,08,1233,LICENSED,2/11/2003,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,011400369,LAKE PARK,CALIFORNIA - NEVADA METHODIST HOMES,JOHNSON OKERE,(510) 835-5511,1850 ALICE,OAKLAND,CA,94612,ALAMEDA,15,275,CLOSED,6/28/1993,12/6/2022,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,019201182,LAKE PARK SENIOR LIVING,LAKE MERRITT SENIOR LIVING LLC;CALSON CARE OAKLAND,"KORFHAGE, KIRSTEN",(510) 835-5511,1850 ALICE STREET,OAKLAND,CA,94612,ALAMEDA,15,275,LICENSED,12/6/2022,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200941,LINCOLN GLEN ASSISTED LIVING CENTER,"LINCOLN GLEN MANOR FOR SENIOR CITIZENS, INC.",JAMES B MORTENSEN,(408) 267-4872,2671 PLUMMER AVENUE,SAN JOSE,CA,95125,SANTA CLARA,26,93,LICENSED,10/13/2001,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,011440129,MASONIC HOME FOR ADULTS,MASONIC HOMES OF CALIFORNIA,SOLEDAD MARTINEZ,(510) 471-3434,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,242,LICENSED,2/3/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191592287,MASONIC HOMES FOR ADULTS,MASONIC HOMES OF CALIFORNIA,VINCENT L. GONZAGA,(626) 251-2200,1650 EAST OLD BADILLO ST,COVINA,CA,91724,LOS ANGELES,28,112,LICENSED,5/1/1989,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603081,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MARK MEMMELAAR,(760) 746-2500,100 HOLLAND GLEN,ESCONDIDO,CA,92026,SAN DIEGO,18,200,LICENSED,11/18/2010,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,286801070,"MEADOWS OF NAPA VALLEY, THE",ODD FELLOWS HOME OF CALIFORNIA; PRS MGMT INC,KRISTINE MORROW,(707) 257-7885,1800 ATRIUM PARKWAY,NAPA,CA,94559,NAPA,21,350,LICENSED,7/31/2002,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,015600255,MERCY RETIREMENT & CARE CENTER,MERCY RET & CARE CTR AND ELDER CARE ALLIANCE,"MCCARRON, KATHLEEN",(510) 534-8540,3431 FOOTHILL BOULEVARD,OAKLAND,CA,94601,ALAMEDA,15,160,LICENSED,3/11/1999,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435294340,MOLDAW FAMILY RESIDENCES AT 899 CHARLESTON,"899 CHARLESTON; LIFE CARE SERVICES, LLC",MARK BADDAS,(650) 433-3600,899 EAST CHARLESTON ROAD,PALO ALTO,CA,94303,SANTA CLARA,26,270,LICENSED,10/22/2009,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222411,MONTE VISTA GROVE HOMES,MONTE VISTA GROVE HOMES,DEBORAH A HERBERT,(626) 796-6135,2889 SAN PASQUAL STREET,PASADENA,CA,91107,LOS ANGELES,28,66,LICENSED,12/2/1992,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608908,MONTECEDRO,"MONTECEDRO, INC.",DAVID WEIDERT,(626) 788-4900,2212 EL MOLINO,ALTADENA,CA,91001,LOS ANGELES,31,300,CLOSED,12/16/2015,7/31/2023,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197610430,MONTECEDRO,EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,"WEIDERT, DAVID",(626) 788-4900,2212 EL MOLINO AVE,ALTADENA,CA,91001,LOS ANGELES,31,300,LICENSED,7/31/2023,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300613273,MORNINGSIDE OF FULLERTON,"MORNINGSIDE SP ASSOCIATES INC, GP OF CORECARE III",RICHARD ALLEN NORDSIEK,(714) 256-8000,800 MORNINGSIDE DR.,FULLERTON,CA,92835,ORANGE,22,712,LICENSED,11/9/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500496,MOUNT SAN ANTONIO GARDENS,"CONGREGATIONAL HOMES, INCORPORATED",JOYCE FREMPONG,(909) 624-5061,900 EAST HARRISON AVENUE,POMONA,CA,91767,LOS ANGELES,28,520,LICENSED,1/4/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,390314809,O'CONNOR WOODS ASSISTED LIVING,O'CONNOR WOODS HOUSING; ESKATON PROPERTIES INC,"LEAL-MALLETE, PENNY",(209) 956-3400,3334 WAGNER HEIGHTS RD,STOCKTON,CA,95209,SAN JOAQUIN,27,499,LICENSED,8/14/1991,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,277209241,PACIFIC GROVE SENIOR LIVING,PACIFIC GROVE SENIOR LIVING LLC;CA SNR LVG MGT LLC,JESSICA SANCHEZ,(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,24,150,LICENSED,12/6/2022,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100404809,PALM VILLAGE RETIREMENT COMMUNITY,"MENNONITE BRETHREN HOMES, INC.",JIM HIGBEE,(559) 638-6933,703 WEST HERBERT AVENUE,REEDLEY,CA,93654,FRESNO,24,262,LICENSED,2/13/1987,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,486800368,PARADISE VALLEY ESTATES,NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY,"YEE, KELLY",(707) 432-1100,2600 ESTATES DRIVE,FAIRFIELD,CA,94533,SOLANO,21,743,LICENSED,12/3/1997,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374601395,PARADISE VALLEY MANOR,"STERLING CARE, INC.",AARON BURRUP,(619) 470-6700,2575 E. EIGHTH STREET,NATIONAL CITY,CA,91950,SAN DIEGO,08,50,LICENSED,5/27/2003,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410508359,PENINSULA REGENT (THE),BASS INC; PACIFIC RETIREMENT SERVICES INC,MARTIN HERTER,(650) 579-5500,1 BALDWIN AVENUE,SAN MATEO,CA,94401,SAN MATEO,14,435,LICENSED,12/15/1988,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,011400514,PIEDMONT GARDENS #1,HUMANGOOD & HUMANGOOD NORCAL,"WITTMAN, DANIEL",(510) 654-7172,110-41ST STREET,OAKLAND,CA,94611,ALAMEDA,15,321,LICENSED,3/25/1993,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607628,PILGRIM PLACE IN CLAREMONT,"PILGRIM PLACE IN CLAREMONT, INC.",RICHARD RODAS,(909) 399-5500,625 MAYFLOWER ROAD,CLAREMONT,CA,91711,LOS ANGELES,28,454,LICENSED,1/16/2009,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360904812,PLYMOUTH VILLAGE OF REDLANDS,HUMANGOOD & HUMANGOOD NORCAL,MICHAEL HARRISON,(909) 793-1233,900 SALEM DRIVE,REDLANDS,CA,92373,SAN BERNARDINO,56,303,LICENSED,2/24/1981,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306005546,REATA GLEN ORANGE COUNTY CCRC LLC,REAT GLEN ORANGE COUNTY CCRC,KELLY CONK,(949) 545-2250,2 LAS ESTRELLAS LOOP,RANCHO MISSION VIEJO,CA,92694,ORANGE,22,840,LICENSED,6/19/2019,,05252025
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600566,REDWOOD TERRACE,HUMANGOOD; HUMANGOOD SOCAL,LEIF CAMERON,(760) 747-4306,710 WEST 13TH AVENUE,ESCONDIDO,CA,92025,SAN DIEGO,18,210,LICENSED,8/26/1997,,05252025
